distributor_id,distributor_name,region,state,city,channel,credit_limit_inr,credit_terms_days,active_status,onboard_date
D045,WellServe Distributors 45,South,Telangana,Hyderabad,Government Tender,2500000,45,Active,2021-01-01
D046,PrimeMed Distributors 46,East,West Bengal,Kolkata,Retail Pharmacy,750000,45,Active,2022-04-01
D047,PrimeMed Distributors 47,East,Odisha,Bhubaneswar,Hospital,500000,45,Active,2023-07-01
D048,MediLink Distributors 48,Central,Madhya Pradesh,Indore,Clinic,750000,30,Active,2024-10-01
D049,HealthBridge Distributors 49,North,Delhi,New Delhi,E-Pharmacy,750000,60,Active,2019-01-01
D050,WellServe Distributors 50,North,Uttar Pradesh,Lucknow,Government Tender,1000000,15,Active,2020-04-01
D051,WellServe Distributors 51,North,Punjab,Ludhiana,Retail Pharmacy,750000,30,Active,2021-07-01
D052,CareRoute Distributors 52,West,Maharashtra,Mumbai,Hospital,1500000,30,Active,2022-10-01
D053,WellServe Distributors 53,West,Gujarat,Ahmedabad,Clinic,750000,30,Active,2023-01-01
D054,WellServe Distributors 54,West,Rajasthan,Jaipur,E-Pharmacy,1000000,60,Active,2024-04-01
D055,HealthBridge Distributors 55,South,Karnataka,Bengaluru,Government Tender,1000000,30,Active,2019-07-01
D056,HealthBridge Distributors 56,South,Tamil Nadu,Chennai,Retail Pharmacy,1000000,15,Active,2020-10-01
D057,HealthBridge Distributors 57,South,Telangana,Hyderabad,Hospital,1500000,30,Active,2021-01-01
D058,MediLink Distributors 58,East,West Bengal,Kolkata,Clinic,1500000,15,Inactive,2022-04-01
D059,CareRoute Distributors 59,East,Odisha,Bhubaneswar,E-Pharmacy,2500000,15,Active,2023-07-01
D060,WellServe Distributors 60,Central,Madhya Pradesh,Indore,Government Tender,2500000,60,Active,2024-10-01
